data cutremur,year,month,day,minute,lat,long,depth,Mw,Type,Qual
1/3/1900,1900,1,3,38:06.0,46.5,27.3,9.9,3.2,Minor,Q=D
1/29/1900,1900,1,29,57:40.0,46,21.2,9.9,4.5,Light,Q=D
1/31/1900,1900,1,31,40:11.6,46.5,27.3,9.9,5.5,Moderate,Q=D
6/22/1900,1900,6,22,51:23.0,44.3,26.3,9.9,2.6,Negligible,Q=D
6/23/1900,1900,6,23,20:25.0,45,24.1,9.9,4.2,Light,Q=D
11/19/1900,1900,11,19,12:00.0,44.9,28.4,9.9,4.2,Light,Q=D
2/16/1901,1901,2,16,12:41.0,44.93,26.31,30,3.9,Minor,Q=D
3/30/1901,1901,3,30,01:32.9,44.3,22.1,20,4.1,Light,Q=D
3/31/1901,1901,3,31,29:29.6,43.6,28.7,30,5,Moderate,Q=D
4/2/1901,1901,4,2,21:44.8,45.5,20.7,18,5,Moderate,Q=D
4/7/1901,1901,4,7,59:18.9,44.4,23.3,9.9,2.6,Negligible,Q=D
6/4/1901,1901,6,4,39:50.8,45.7,27.2,9.9,3.2,Minor,Q=D
9/23/1901,1901,9,23,49:59.4,45.7,26.6,130,5.7,Moderate,Q=D
11/15/1901,1901,11,15,30:02.1,45.4,28.1,9.9,4.5,Light,Q=D
12/12/1901,1901,12,12,58:26.0,47.9,23.1,2,3.7,Minor,Q=D
1/21/1902,1902,1,21,00:42.0,45.8,21.5,5,3.8,Minor,Q=D
3/1/1902,1902,3,1,22:54.5,47.9,24,1,4.1,Light,Q=D
3/11/1902,1902,3,11,54:20.5,45.7,26.6,100,5.9,Moderate,Q=D
5/7/1902,1902,5,7,06:06.5,47.8,26.6,9.9,3.2,Minor,Q=D
6/27/1902,1902,6,27,04:29.6,44.3,23.8,9.9,3.2,Minor,Q=D
10/17/1902,1902,10,17,33:00.3,45.2,26.8,9.9,3.5,Minor,Q=D
12/23/1902,1902,12,23,37:26.0,45.9,27.1,9.9,3.2,Minor,Q=D
1/20/1903,1903,1,20,33:23.5,47.8,26.6,9.9,4.1,Light,Q=D
1/22/1903,1903,1,22,35:00.0,47.8,26.6,9.9,3.2,Minor,Q=D
2/1/1903,1903,2,1,59:54.0,44.82,25.92,30,3.2,Minor,Q=D
2/23/1903,1903,2,23,23:49.1,45.6,27.7,9.9,3.5,Minor,Q=D
4/11/1903,1903,4,11,22:53.9,45,26,9.9,2.6,Negligible,Q=D
6/8/1903,1903,6,8,23:53.4,45.5,26.8,120,5.9,Moderate,Q=D
7/20/1903,1903,7,20,47:01.3,45.6,21.3,6,4,Light,Q=D
9/13/1903,1903,9,13,05:52.9,45.7,26.6,70,6.3,Strong,Q=D
2/6/1904,1904,2,6,15:04.0,45.7,26.6,75,6.6,Strong,Q=D
4/3/1904,1904,4,3,51:13.9,44.9,28.4,9.9,3.2,Minor,Q=D
5/10/1904,1904,5,10,53:52.0,46.3,27.2,9.9,3.2,Minor,Q=D
6/6/1904,1904,6,6,46:29.4,44.1,27.3,30,4.7,Light,Q=D
7/21/1904,1904,7,21,38:39.6,45.7,27.2,9.9,3.2,Minor,Q=D
9/24/1904,1904,9,24,01:28.1,46.2,27.2,9.9,3.2,Minor,Q=D
11/3/1904,1904,11,3,05:20.9,45.3,25.2,9.9,3.2,Minor,Q=D
12/12/1904,1904,12,12,06:22.2,45,23,9.9,3.2,Minor,Q=D
2/8/1905,1905,2,8,31:37.9,46.6,21.2,9.9,3.8,Minor,Q=D
3/15/1905,1905,3,15,25:35.0,45.8,25.7,9.9,3.2,Minor,Q=D
4/11/1905,1905,4,11,22:54.9,45.8,21.3,9.9,2.9,Negligible,Q=D
6/11/1905,1905,6,11,00:32.9,45.8,27.7,9.9,3.5,Minor,Q=D
8/5/1905,1905,8,5,08:18.5,44.3,26.3,9.9,2.6,Negligible,Q=D
11/8/1905,1905,11,8,18:58.8,46.2,27.7,9.9,4.2,Light,Q=D
11/9/1905,1905,11,9,07:52.1,45,23.3,9.9,0,Negligible,Q=D
11/13/1905,1905,11,13,45:22.0,45,23.3,9.9,0,Negligible,Q=D
11/18/1905,1905,11,18,18:22.8,44.2,26.2,9.9,3.2,Minor,Q=D
11/26/1905,1905,11,26,37:15.8,45.8,27.4,9.9,2.6,Negligible,Q=D
1/11/1906,1906,1,11,10:18.2,46.2,27.7,9.9,3.2,Minor,Q=D
2/8/1906,1906,2,8,18:47.6,46.7,27.2,9.9,3.2,Minor,Q=D
3/5/1906,1906,3,5,03:31.7,46.3,26.6,9.9,3.2,Minor,Q=D
3/15/1906,1906,3,15,00:31.3,46.3,26.6,9.9,2.6,Negligible,Q=D
4/13/1906,1906,4,13,56:25.5,44.9,28.7,9.9,3.2,Minor,Q=D
4/29/1906,1906,4,29,53:16.4,47.3,22.1,10,4.2,Light,Q=C
5/23/1906,1906,5,23,37:47.2,46.3,26.6,9.9,3.2,Minor,Q=D
6/1/1906,1906,6,1,29:10.2,44.1,27.3,9.9,3.2,Minor,Q=D
6/2/1906,1906,6,2,55:46.7,45.2,28.8,9.9,4.2,Light,Q=D
10/17/1906,1906,10,17,34:07.9,46.6,27.3,30,4.9,Light,Q=D
11/27/1906,1906,11,27,18:28.3,44.1,27.3,9.9,3.2,Minor,Q=D
1/16/1907,1907,1,16,52:42.3,44.9,21.7,9.9,2.3,Negligible,Q=D
3/10/1907,1907,3,10,56:26.9,45.5,21.1,9.9,3.8,Minor,Q=D
6/9/1907,1907,6,9,23:43.8,44.72,27.43,30,2.6,Negligible,Q=D
6/9/1907,1907,6,9,37:51.8,45.9,25.8,9.9,3.2,Minor,Q=D
8/13/1907,1907,8,13,50:58.6,44.42,26.15,15,2.6,Negligible,Q=D
11/24/1907,1907,11,24,19:16.6,45.6,26.8,9.9,4.5,Light,Q=D
12/28/1907,1907,12,28,46:36.8,45.5,26.6,9.9,3.2,Minor,Q=D
3/13/1908,1908,3,13,28:03.9,45.5,27.9,25,4.5,Light,Q=D
3/20/1908,1908,3,20,39:18.0,45,21.7,9.9,3.2,Minor,Q=D
8/9/1908,1908,8,9,40:48.9,44.1,27.3,9.9,3.2,Minor,Q=D
10/6/1908,1908,10,6,26:07.8,45.5,26.5,125,7.1,Major,Q=C
5/31/1909,1909,5,31,31:33.9,44.1,27.3,9.9,3.2,Minor,Q=D
6/16/1909,1909,6,16,54:57.2,46.6,27,9.9,3.2,Minor,Q=D
6/24/1909,1909,6,24,11:00.3,45.8,27.7,9.9,3.9,Minor,Q=D
8/31/1909,1909,8,31,09:23.0,45.1,21.8,20,4.4,Light,Q=C
1/6/1910,1910,1,6,28:21.2,45,23.3,9.9,3.2,Minor,Q=D
1/14/1910,1910,1,14,39:53.0,44.3,26.3,9.9,2.6,Negligible,Q=D
3/2/1910,1910,3,2,46:39.0,46.2,27.7,9.9,3.2,Minor,Q=D
6/23/1910,1910,6,23,07:36.0,46.2,27.7,9.9,3.2,Minor,Q=D
8/8/1910,1910,8,8,43:20.0,46.5,21.6,10,4.3,Light,Q=D
10/11/1910,1910,10,11,30:51.0,44.9,22.4,7,4.3,Light,Q=C
10/13/1910,1910,10,13,21:18.0,44.5,24.4,9.9,3.2,Minor,Q=D
